,Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб),Форма двигателя
50,American IronHorse,American IronHorse Tejas,2001,Воронеж,25000,1340,40.0,2.0,МКПП-5,ремень,синий,1305000,v-образное
51,Apollo,Apollo DT125,2023,Исанбаево,777,125,10.0,1.0,МКПП-4,цепь,пурпурный,69999,ротор
52,Apollo,Apollo RXF,2021,Всеволожск,3500,150,15.0,1.0,МКПП-4,цепь,зелёный,120000,рядное
53,Apollo,Apollo Mini,2021,Клин,17,50,4.0,1.0,Вариатор,цепь,белый,72000,рядное
54,Apollo,Apollo Freeride,2022,Воронеж,300,190,21.0,1.0,МКПП-5,цепь,белый,80000,рядное
55,Apollo,Apollo RXF,2018,Хотьково,60,125,8.0,2.0,МКПП-4,цепь,синий,80000,оппозитное
56,Apollo,Apollo Freeride,2020,Москва,150,150,12.0,1.0,МКПП-4,цепь,жёлтый,89990,рядное
57,Apollo,Apollo Start,2022,Стеженский,4444,125,3.0,1.0,МКПП-4,цепь,чёрный,70000,рядное
58,Apollo,Apollo RFZ 125LE,2020,Пермь,100,124,9.0,1.0,МКПП-4,цепь,красный,80000,v-образное
59,Apollo,Apollo Freeride,2019,Советский,500,150,15.0,1.0,МКПП-4,цепь,чёрный,80000,рядное
60,Apollo,Apollo RFZ 125LE,2024,Екатеринбург,500,125,11.0,1.0,МКПП-4,цепь,синий,78000,v-образное
61,Apollo,Apollo RXF,2019,Русавкино-Романово,250,150,15.0,1.0,МКПП-4,цепь,оранжевый,130000,рядное
62,Apollo,Apollo RXF,2021,Унеча,111,125,8.0,1.0,МКПП-4,цепь,красный,85000,рядное
63,Apollo,Apollo Freeride,2021,Санкт-Петербург,300,125,9.0,1.0,МКПП-4,цепь,красный,100500,рядное
64,Apollo,Apollo Elite,2018,Санкт-Петербург,6,150,13.0,1.0,МКПП-4,цепь,красный,85000,рядное
65,Apollo,Apollo RXF,2021,Яхрома,20,150,14.0,1.0,МКПП-4,цепь,красный,90000,рядное
66,Apollo,Apollo DT125,2023,Калининград,500,125,15.0,1.0,МКПП-4,цепь,красный,105000,ротор
67,Apollo,Apollo RXF,2019,Белокуриха,60,140,16.0,1.0,МКПП-4,цепь,жёлтый,80000,v-образное
68,Apollo,Apollo Freeride,2020,Чайковский,2000,50,15.0,1.0,МКПП-4,цепь,красный,35000,рядное
69,Apollo,Apollo Thunder,2022,Авдон,1000,125,11.0,2.0,МКПП-4,цепь,красный,100000,v-образное
70,Apollo,Apollo RXF,2024,Бурцево,25,140,23.0,1.0,МКПП-4,цепь,голубой,120000,рядное
71,Apollo,Apollo RFZ 125LE,2022,Кемерово,1000,125,11.0,1.0,МКПП-4,цепь,зелёный,75000,v-образное
72,Apollo,Apollo Elite,2014,Старая Русса,1000,160,15.0,1.0,МКПП-4,цепь,красный,130000,рядное
73,Apollo,Apollo RXF,2019,Рославль,10000,150,15.0,1.0,МКПП-4,цепь,оранжевый,73000,рядное
74,Apollo,Apollo Elite,2017,Санкт-Петербург,1430,140,12.0,1.0,МКПП-4,цепь,чёрный,135000,рядное
75,Apollo,Apollo RXF,2020,Москва,5000,125,11.0,1.0,МКПП-4,цепь,синий,59000,рядное
76,Apollo,Apollo Elite,2014,Медведково,2000,150,15.0,1.0,МКПП-4,цепь,красный,100000,рядное
77,Apollo,Apollo Freeride,2022,Узловая,270,150,15.0,1.0,МКПП-4,цепь,жёлтый,150000,рядное
78,Apollo,Apollo Junior,2021,Москва,100,125,12.0,1.0,АКПП,цепь,красный,75000,рядное
79,Apollo,Apollo RFZ 125LE,2020,Навля,120,125,10.0,1.0,МКПП-4,цепь,оранжевый,58000,v-образное
80,Apollo,Apollo Freeride,2018,Великий Устюг,222,190,17.0,1.0,МКПП-5,цепь,зелёный,94999,рядное
81,Apollo,Apollo RXF,2023,Кунгур,120,250,15.0,1.0,МКПП-5,цепь,зелёный,138000,рядное
82,Aprilia,Aprilia ETV 1200 Caponord,2015,Новосибирск,16000,1200,128.0,2.0,МКПП-6,цепь,красный,1150000,v-образное
83,Aprilia,Aprilia RS 660,2022,Москва,2297,660,100.0,2.0,МКПП-6,цепь,белый,1399000,v-образное
84,Aprilia,Aprilia Tuono V4,2018,Москва,27000,1100,175.0,4.0,МКПП-6,цепь,серебристый,1200000,v-образное
85,Aprilia,Aprilia Tuono 1000,2007,Санкт-Петербург,2539,1000,167.0,4.0,МКПП-6,цепь,чёрный,550000,v-образное
86,Aprilia,Aprilia SL 750 Shiver,2009,Санкт-Петербург,10379,750,95.0,2.0,МКПП-6,цепь,серый,498000,v-образное
87,Aprilia,Aprilia Tuono V4,2023,Москва,1200,1077,175.0,4.0,МКПП-6,цепь,чёрный,2400000,v-образное
88,Aprilia,Aprilia Mana 850,2011,Хабаровск,9800,850,76.0,2.0,АКПП,цепь,чёрный,530000,v-образное
89,Aprilia,Aprilia ETV 1200 Caponord,2015,Москва,16052,1200,125.0,2.0,МКПП-6,цепь,чёрный,1150000,v-образное
90,Aprilia,Aprilia Pegaso 650,2001,Сегежа,100000,650,50.0,1.0,МКПП-5,цепь,серебристый,200000,рядное
91,Aprilia,Aprilia SL 750 Shiver,2010,Екатеринбург,31000,750,95.0,2.0,МКПП-6,цепь,красный,550000,v-образное
92,Aprilia,Aprilia Tuono V4,2012,Ближние Прудищи,38000,998,167.0,4.0,МКПП-6,цепь,серебристый,950000,v-образное
93,Aprilia,Aprilia RSV4,2018,Красногорск,8488,1100,201.0,4.0,МКПП-6,цепь,чёрный,1550000,v-образное
94,Aprilia,Aprilia Pegaso 650,2001,Томск,79000,650,50.0,1.0,МКПП-5,цепь,серебристый,375000,рядное
95,Aprilia,Aprilia Pegaso 650,1997,Набережные Челны,59900,650,50.0,1.0,МКПП-5,цепь,красный,215000,рядное
96,Aprilia,Aprilia RSV4,2020,Санкт-Петербург,12089,999,201.0,4.0,МКПП-6,цепь,серый,1689000,v-образное
97,Aprilia,Aprilia RS 50,2003,Новосибирск,31797,49,12.0,1.0,МКПП-6,цепь,чёрный,105000,рядное
98,Aprilia,Aprilia RSV1000 R,2005,Новокузнецк,21829,1000,147.0,2.0,МКПП-6,цепь,красный,600000,v-образное
99,Aprilia,Aprilia Tuono V4,2016,Санкт-Петербург,18000,1077,175.0,4.0,МКПП-6,цепь,красный,1150000,v-образное
100,Aprilia,Aprilia RST 1000 Futura,2003,Козет,39305,1000,113.0,2.0,МКПП-6,цепь,серый,419999,v-образное
101,Aprilia,Aprilia SL 900 Shiver,2019,Красногорск,13200,900,95.0,2.0,МКПП-6,цепь,серебристый,850000,v-образное
102,Aprilia,Aprilia SL 900 Shiver,2018,Иркутск,19000,900,94.0,2.0,МКПП-6,цепь,белый,850000,v-образное
103,Aprilia,Aprilia Pegaso 650 Strada,2005,Санкт-Петербург,10267,659,48.0,1.0,МКПП-5,цепь,оранжевый,460000,рядное
104,Aprilia,Aprilia Pegaso 650 Strada,2005,Москва,7368,659,50.0,1.0,МКПП-5,цепь,чёрный,240000,рядное
105,Aprilia,Aprilia SL 900 Shiver,2018,Москва,17191,900,95.0,2.0,МКПП-6,цепь,белый,800000,v-образное
106,Aprilia,Aprilia RSV4,2010,Москва,21450,1000,168.0,4.0,МКПП-6,цепь,белый,915000,v-образное
107,Aprilia,Aprilia RSV1000 R,2007,Знаменск,16000,1000,147.0,2.0,МКПП-6,цепь,чёрный,650000,v-образное
108,Aprilia,Aprilia SL 750 Shiver,2009,Подольск,40000,750,95.0,2.0,МКПП-6,цепь,серебристый,488000,v-образное
109,Aprilia,Aprilia Mana 850,2008,Москва,15000,850,76.0,2.0,АКПП,цепь,синий,550000,v-образное
110,Aprilia,Aprilia ETV 1000 Caponord,2001,Одинцово,96000,1000,98.0,2.0,МКПП-5,цепь,синий,460000,v-образное
111,Aprilia,Aprilia SL 900 Shiver,2018,Москва,5500,900,95.0,2.0,МКПП-6,цепь,белый,1199000,v-образное
112,Aprilia,Aprilia ETV 1000 Caponord,2005,Солнечногорск,55500,1000,100.0,2.0,МКПП-6,цепь,серый,700000,v-образное
113,Aprilia,Aprilia RSV4,2018,Воронеж,24000,998,201.0,4.0,МКПП-6,цепь,красный,1500000,v-образное
