Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
Apollo,Apollo M3,2023,Абакан,5,300,24,1 цилиндр,5 передач,цепь,оранжевый,200000
Apollo,Apollo Elite,2014,Старая Русса,1000,160,15,1 цилиндр/рядное,4 передачи,цепь,красный,130000
Apollo,Apollo RXF,2019,Рославль,10000,150,15,1 цилиндр/рядное,4 передачи,цепь,оранжевый,73000
Apollo,Apollo Elite,2017,Санкт-Петербург,1430,140,12,1 цилиндр,4 передачи,цепь,чёрный,135000
Apollo,Apollo RX,2024,Домодедово,20,140,,,4 передачи,цепь,чёрный,75000
Apollo,Apollo M3,2014,Ставрополь,9500,110,7,1 цилиндр,Вариатор,,красный,55000
Apollo,Apollo RXF,2020,Москва,5000,125,11,1 цилиндр/рядное,4 передачи,цепь,синий,59000
Apollo,Apollo Elite,2014,Медведково,2000,150,15,1 цилиндр/рядное,4 передачи,цепь,красный,100000
Apollo,Apollo Freeride,2022,Узловая,270,150,15,1 цилиндр/рядное,4 передачи,цепь,жёлтый,150000
Apollo,Apollo Junior,2021,Москва,100,125,12,1 цилиндр/рядное,АКПП,цепь,красный,75000
Apollo,Apollo RFZ 125LE,2020,Навля,120,125,10,1 цилиндр,4 передачи,цепь,оранжевый,58000
Apollo,Apollo Freeride,2018,Великий Устюг,222,190,17,1 цилиндр/рядное,5 передач,цепь,зелёный,94999
Apollo,Apollo RXF,2023,Кунгур,120,250,,1 цилиндр,5 передач,цепь,зелёный,138000
Aprilia,Aprilia ETV 1200 Caponord,2015,Новосибирск,16000,1200,128,2 цилиндра/v-образное,6 передач,цепь,красный,1150000
Aprilia,Aprilia RS 660,2022,Москва,2297,660,100,,6 передач,цепь,белый,1399000
Aprilia,Aprilia Tuono V4,2018,Москва,27000,1100,175,4 цилиндра/v-образное,6 передач,цепь,серебристый,1200000
Aprilia,Aprilia Tuono 1000,2007,Санкт-Петербург,2539,1000,,,,,чёрный,550000
Aprilia,Aprilia SL 750 Shiver,2009,Санкт-Петербург,10379,750,,,,,серый,498000
Aprilia,Aprilia Tuono V4,2023,Москва,1200,1077,,,,,чёрный,2400000
Aprilia,Aprilia Tuareg 660,2024,Москва,1,660,80,2 цилиндра,6 передач,цепь,белый,1600000
Aprilia,Aprilia Mana 850,2011,Хабаровск,9800,850,76,2 цилиндра/v-образное,АКПП,цепь,чёрный,530000
Aprilia,Aprilia ETV 1200 Caponord,2015,Москва,16052,1200,,,,,чёрный,1150000
Aprilia,Aprilia Pegaso 650,2001,Сегежа,100000,650,50,1 цилиндр/рядное,5 передач,цепь,серебристый,200000
Aprilia,Aprilia SL 750 Shiver,2010,Екатеринбург,31000,750,95,2 цилиндра/v-образное,6 передач,цепь,красный,550000
Aprilia,Aprilia Tuono V4,2012,Ближние Прудищи,38000,998,167,4 цилиндра/v-образное,6 передач,цепь,серебристый,950000
Aprilia,Aprilia RSV4,2018,Красногорск,8488,1100,201,,6 передач,цепь,чёрный,1550000
Aprilia,Aprilia Pegaso 650,2001,Томск,79000,650,50,1 цилиндр/рядное,5 передач,цепь,серебристый,375000
Aprilia,Aprilia Pegaso 650,1997,Набережные Челны,59900,650,50,1 цилиндр,5 передач,цепь,красный,215000
Aprilia,Aprilia RSV4,2020,Санкт-Петербург,12089,999,201,,6 передач,,серый,1689000
Aprilia,Aprilia RS 50,2003,Новосибирск,31797,49,12,1 цилиндр,6 передач,цепь,чёрный,105000
Aprilia,Aprilia RSV1000 R,2005,Новокузнецк,21829,1000,147,2 цилиндра/v-образное,6 передач,цепь,красный,600000
Aprilia,Aprilia Tuono V4,2016,Санкт-Петербург,18000,1077,175,4 цилиндра,6 передач,цепь,красный,1150000
Aprilia,Aprilia Pegaso 650,2001,Сегежа,100000,650,50,1 цилиндр/рядное,5 передач,цепь,серебристый,200000
Aprilia,Aprilia RST 1000 Futura,2003,Козет,39305,1000,113,2 цилиндра/v-образное,6 передач,цепь,серый,419999
Aprilia,Aprilia SL 900 Shiver,2019,Красногорск,13200,900,,2 цилиндра/v-образное,6 передач,цепь,серебристый,850000
Aprilia,Aprilia SL 900 Shiver,2018,Иркутск,19000,900,94,2 цилиндра/v-образное,6 передач,цепь,белый,850000
Aprilia,Aprilia Pegaso 650 Strada,2005,Санкт-Петербург,10267,659,48,1 цилиндр/рядное,5 передач,цепь,оранжевый,460000
Aprilia,Aprilia Pegaso 650 Strada,2005,Москва,7368,659,50,1 цилиндр,5 передач,цепь,чёрный,240000
Aprilia,Aprilia SL 900 Shiver,2018,Москва,17191,900,95,2 цилиндра/v-образное,6 передач,цепь,белый,800000
Aprilia,Aprilia RSV4,2010,Москва,21450,1000,168,4 цилиндра/v-образное,6 передач,цепь,белый,915000
Aprilia,Aprilia RSV1000 R,2007,Знаменск,16000,1000,147,2 цилиндра/v-образное,6 передач,цепь,чёрный,650000
Aprilia,Aprilia SL 750 Shiver,2009,Подольск,40000,750,95,2 цилиндра/v-образное,6 передач,цепь,серебристый,488000
Aprilia,Aprilia Mana 850,2008,Москва,15000,850,76,2 цилиндра/v-образное,АКПП,цепь,синий,550000
Aprilia,Aprilia ETV 1000 Caponord,2001,Одинцово,96000,1000,98,2 цилиндра/v-образное,5 передач,цепь,синий,460000
Aprilia,Aprilia SL 900 Shiver,2018,Москва,5500,900,95,2 цилиндра/v-образное,6 передач,цепь,белый,1199000
Aprilia,Aprilia ETV 1000 Caponord,2005,Солнечногорск,55500,1000,100,2 цилиндра/v-образное,6 передач,,серый,700000
Aprilia,Aprilia RSV4,2018,Воронеж,24000,998,201,4 цилиндра/v-образное,6 передач,цепь,красный,1500000
Aprilia,Aprilia Tuono V4,2022,Воронеж,1,1077,175,4 цилиндра/v-образное,6 передач,цепь,чёрный,2600000
Aprilia,Aprilia RSV4,2022,Санкт-Петербург,3,1100,217,,,,чёрный,2700000
Aprilia,Aprilia RSV4,2022,Москва,1,1099,217,4 цилиндра/v-образное,6 передач,цепь,синий,2800000
Aprilia,Aprilia SL 900 Shiver,2018,Москва,26000,896,95,2 цилиндра/v-образное,6 передач,цепь,серебристый,945000
Aprilia,Aprilia SL 900 Shiver,2019,Зеленоград,6000,900,95,2 цилиндра/v-образное,6 передач,цепь,чёрный,920000
Aprilia,Aprilia ETV 1000 Caponord,2003,Тюмень,63535,1000,100,2 цилиндра/v-образное,6 передач,цепь,красный,550000
Aprilia,Aprilia RST 1000 Futura,2001,Пушкино,30000,1000,114,2 цилиндра/рядное,6 передач,цепь,серебристый,385000
Aprilia,Aprilia SL 900 Shiver,2020,Тюмень,2136,896,95,2 цилиндра,6 передач,цепь,красный,1150000
Aprilia,Aprilia RXV 550,2007,Пермь,1700,550,80,2 цилиндра/v-образное,5 передач,цепь,чёрный,765000
Aprilia,Aprilia Pegaso 650,2009,Саратов,70000,650,52,1 цилиндр/рядное,5 передач,цепь,красный,485000
Aprilia,Aprilia ETV 1200 Caponord,2015,Москва,55117,1200,125,2 цилиндра/v-образное,6 передач,цепь,белый,908440
Aprilia,Aprilia Tuono 1000,2012,Санкт-Петербург,21000,999,167,4 цилиндра/v-образное,6 передач,цепь,чёрный,775000
Aprilia,Aprilia SL 750 Shiver,2008,Владивосток,22333,750,223,,,,серебристый,405000
Aprilia,Aprilia ETV 1200 Caponord,2015,Новосибирск,16000,1200,128,2 цилиндра/v-образное,6 передач,цепь,красный,1150000
Aprilia,Aprilia Tuono V4,2019,Москва,23800,1077,175,4 цилиндра/v-образное,6 передач,цепь,красный,1800000
Aprilia,Aprilia ETV 1200 Caponord,2015,Обнинск,15000,1200,125,2 цилиндра/v-образное,6 передач,цепь,белый,1150000
Aprilia,Aprilia SXV 550,2007,Кисловодск,9200,549,85,2 цилиндра/v-образное,5 передач,цепь,чёрный,850000
Aprilia,Aprilia RSV4,2021,Москва,5000,1100,217,4 цилиндра/v-образное,6 передач,цепь,чёрный,2650000
Aprilia,Aprilia RSV4,2012,Москва,18650,999,,,,,чёрный,946000
Aprilia,Aprilia Dorsoduro 1200,2011,Москва,17000,1200,131,,5 передач,цепь,серебристый,1250000
Aprilia,Aprilia Tuono V4,2022,Москва,2600,1100,175,4 цилиндра/v-образное,6 передач,цепь,чёрный,2600000
Aprilia,Aprilia Mana 850,2011,Хабаровск,7800,839,76,2 цилиндра/v-образное,АКПП,цепь,белый,630000
Aprilia,Aprilia Mana 850,2008,Сочи,17100,850,76,2 цилиндра/v-образное,АКПП,цепь,чёрный,490000
Aprilia,Aprilia RSV1000 R,2001,Тюмень,12000,1000,139,2 цилиндра/v-образное,6 передач,цепь,жёлтый,2000000
Aprilia,Aprilia ETV 1000 Caponord,2006,Санкт-Петербург,47000,1000,98,2 цилиндра/v-образное,6 передач,,чёрный,600000
Aprilia,Aprilia RSV1000 R,2005,Москва,6400,1000,139,2 цилиндра/v-образное,6 передач,цепь,красный,1250000
Aprilia,Aprilia RSV4,2019,Москва,7318,1100,217,4 цилиндра/v-образное,6 передач,цепь,чёрный,2250000
Aprilia,Aprilia RSV4,2022,Москва,3150,1099,217,4 цилиндра/v-образное,6 передач,цепь,серый,2200000
Aprilia,Aprilia RSV1000 R,2006,Тверь,64000,1000,143,2 цилиндра/v-образное,6 передач,цепь,красный,520000
Aprilia,Aprilia RSV1000 R,2007,Краснодар,27000,1000,150,,6 передач,цепь,красный,850000
Aprilia,Aprilia RS 660,2021,Химки,2000,660,100,2 цилиндра/v-образное,6 передач,цепь,пурпурный,1300000
Aprilia,Aprilia RS 50,1998,Москва,5000,50,10,1 цилиндр/рядное,5 передач,цепь,оранжевый,150000
Aprilia,Aprilia SL 900 Shiver,2020,Кемерово,10000,900,95,2 цилиндра/v-образное,6 передач,цепь,красный,1100000
Aprilia,Aprilia Classic 125,2021,Омск,3000,125,11,1 цилиндр/рядное,4 передачи,цепь,синий,65000
Aprilia,Aprilia SL 1000 Falco,2000,Екатеринбург,70000,1000,135,2 цилиндра/v-образное,6 передач,цепь,красный,300000
Aprilia,Aprilia Pegaso 650 Strada,2005,Москва,4500,650,48,1 цилиндр/рядное,5 передач,цепь,оранжевый,650000
Aprilia,Aprilia Dorsoduro 900,2019,Химки,9862,900,95,2 цилиндра/v-образное,6 передач,цепь,чёрный,1120000
Aprilia,Aprilia RSV4,2019,Москва,32000,1000,201,4 цилиндра/v-образное,6 передач,цепь,серый,1350000
Aprilia,Aprilia RSV4,2022,Москва,1879,1100,218,4 цилиндра/v-образное,6 передач,цепь,чёрный,2750000
Aprilia,Aprilia SXV 550,2008,Кропоткин,6800,550,,2 цилиндра,,,красный,650000
Aprilia,Aprilia RSV Mille,2001,Люберцы,24000,997,143,2 цилиндра/v-образное,6 передач,цепь,чёрный,420000
Ardie,Ardie RBZ 205/206,2001,Щучье,2400,39,49,4 цилиндра,,,белый,65000
ArmadA,ArmadA PB125,2012,Коломна,1000,125,,1 цилиндр,4 передачи,цепь,белый,59000
Ataki,Ataki Tracker 250,2024,Павловск,500,250,17,1 цилиндр/v-образное,5 передач,цепь,чёрный,155990
Ataki,Ataki Prime 125,2021,Тарасово,11500,125,10,1 цилиндр/ротор,4 передачи,цепь,синий,50000
Ataki,Ataki Start YX125EM,2021,Екатеринбург,1000,125,10,1 цилиндр/оппозитное,5 передач,цепь,белый,70000
Ataki,Ataki Prime 125,2023,Обнинск,85,125,8,1 цилиндр,4 передачи,цепь,белый,63000
Ataki,Ataki EF 250,2023,Химки,5500,250,23,1 цилиндр/рядное,5 передач,цепь,белый,165000
